"title","sourceUrl","city","state","providerWebsite","description","lat","lng","amenities","species","images","v1_durationHours","v1_isPrivate","v1_priceFromDollars","v1_priceUnit","v2_durationHours","v2_isPrivate","v2_priceFromDollars","v2_priceUnit"
"Bight Sportfishing","https://www.fishermanslanding.com/boats/bightsportfishing.php",,,,"","","","","","","","","","","","","",""
"Constitution","https://www.fishermanslanding.com/boats/constitution.php",,,,"","","","","","","","","","","","","",""
"Dolphin","https://www.fishermanslanding.com/boats/dolphin.php",,,,"","","","","","","","","","","","","",""
"Fortune","https://www.fishermanslanding.com/boats/fortune.php",,,,"","","","","","","","","","","","","",""
"Islander","https://www.fishermanslanding.com/boats/islander.php",,,,"","","","","","","","","","","","","",""
"Liberty","https://www.fishermanslanding.com/boats/liberty.php",,,,"","","","","","","","","","","","","",""
"Lucky B Sportfishing","https://www.fishermanslanding.com/boats/luckybsportfishing.php",,,,"","","","","","","","","","","","","",""
"Pacific Dawn","https://www.fishermanslanding.com/boats/pacificdawn.php",,,,"","","","","","","","","","","","","",""
"Pacific Queen","https://www.fishermanslanding.com/boats/pacificqueen.php",,,,"","","","","","","","","","","","","",""
"Pegasus","https://www.fishermanslanding.com/boats/pegasus.php",,,,"","","","","","","","","","","","","",""
"Tomahawk","https://www.fishermanslanding.com/boats/tomahawk.php",,,,"","","","","","","","","","","","","",""
"Tradtion","https://www.fishermanslanding.com/boats/tradition.php",,,,"","","","","","","","","","","","","",""
"Excel","https://www.fishermanslanding.com/boats/excel.php",,,,"","","","","","","","","","","","","",""
"Royal Polaris","https://www.fishermanslanding.com/boats/royalpolaris.php",,,,"","","","","","","","","","","","","",""
"Royal Star","https://www.fishermanslanding.com/boats/royalstar.php",,,,"","","","","","","","","","","","","",""
"Searcher","https://www.fishermanslanding.com/boats/searcher.php",,,,"","","","","","","","","","","","","",""
"Shogun","https://www.fishermanslanding.com/boats/shogun.php",,,,"","","","","","","","","","","","","",""
"Alicia","https://www.hmlanding.com/boat/alicia",,,,"","","","","","","","","","","","","",""
"Daiwa Pacific","https://www.hmlanding.com/boat/daiwa-pacific",,,,"","","","","","","","","","","","","",""
"Excalibur","https://www.hmlanding.com/boat/excalibur",,,,"","","","","","","","","","","","","",""
"Legend","https://www.hmlanding.com/boat/legend",,,,"","","","","","","","","","","","","",""
"Grande","https://www.hmlanding.com/boat/grande",,,,"","","","","","","","","","","","","",""
"Horizon","https://www.hmlanding.com/boat/horizon",,,,"","","","","","","","","","","","","",""
"Malihini","https://www.hmlanding.com/boat/malihini",,,,"","","","","","","","","","","","","",""
"Ocean Odyssey","https://www.hmlanding.com/boat/ocean-odyssey",,,,"","","","","","","","","","","","","",""
"Old Glory","https://www.hmlanding.com/boat/old-glory",,,,"","","","","","","","","","","","","",""
"Poseidon","https://www.hmlanding.com/boat/poseidon",,,,"","","","","","","","","","","","","",""
"Premier","https://www.hmlanding.com/boat/premier",,,,"","","","","","","","","","","","","",""
"Producer","https://www.hmlanding.com/boat/producer",,,,"","","","","","","","","","","","","",""
"Ranger 85","https://www.hmlanding.com/boat/ranger-85",,,,"","","","","","","","","","","","","",""
"Red Rooster III","https://www.hmlanding.com/boat/red-rooster-iii",,,,"","","","","","","","","","","","","",""
"Relentless","https://www.hmlanding.com/boat/relentless",,,,"","","","","","","","","","","","","",""
"Sea Adventure 80","https://www.hmlanding.com/boat/sea-adventure-80",,,,"","","","","","","","","","","","","",""
"Top Gun 80","https://www.hmlanding.com/boat/top-gun-80",,,,"","","","","","","","","","","","","",""
"Spirit of Adventure","https://www.hmlanding.com/boat/spirit-of-adventure",,,,"","","","","","","","","","","","","",""
"Vendetta 2","https://www.hmlanding.com/boat/vendetta2",,,,"","","","","","","","","","","","","",""
"Daily Double","https://www.pointlomasportfishing.com/fleet/dailydouble.php",,,,"","","","","","","","","","","","","",""
"El Capitan","https://www.pointlomasportfishing.com/fleet/elcapitan.php",,,,"","","","","","","","","","","","","",""
"Mission Belle","https://www.pointlomasportfishing.com/fleet/missionbelle.php",,,,"","","","","","","","","","","","","",""
"New Lo-An","https://www.pointlomasportfishing.com/fleet/newloan.php",,,,"","","","","","","","","","","","","",""
"Oceanside 95","https://www.pointlomasportfishing.com/fleet/oceanside95.php",,,,"","","","","","","","","","","","","",""
"Point Loma","https://www.pointlomasportfishing.com/fleet/pointloma.php",,,,"","","","","","","","","","","","","",""
"Success","https://www.pointlomasportfishing.com/fleet/success.php",,,,"","","","","","","","","","","","","",""
"American Angler","https://www.pointlomasportfishing.com/fleet/americanangler.php",,,,"","","","","","","","","","","","","",""
"Independence","https://www.pointlomasportfishing.com/fleet/independence.php",,,,"","","","","","","","","","","","","",""
"Intrepid","https://www.pointlomasportfishing.com/fleet/intrepid.php",,,,"","","","","","","","","","","","","",""
"Vagabond","https://www.pointlomasportfishing.com/fleet/vagabond.php",,,,"","","","","","","","","","","","","",""
"Apollo","https://www.seaforthlanding.com/boats/apollo.php",,,,"","","","","","","","","","","","","",""
"Aztec","https://www.seaforthlanding.com/boats/aztec.php",,,,"","","","","","","","","","","","","",""
"Cortez","https://www.seaforthlanding.com/boats/cortez.php",,,,"","","","","","","","","","","","","",""
"Highliner","https://www.seaforthlanding.com/boats/highliner.php",,,,"","","","","","","","","","","","","",""
"New Seaforth","https://www.seaforthlanding.com/boats/newseaforth.php",,,,"","","","","","","","","","","","","",""
"Outer Limits","https://www.seaforthlanding.com/boats/outerlimits.php",,,,"","","","","","","","","","","","","",""
"Pacific Voyager","https://www.seaforthlanding.com/boats/pacificvoyager.php",,,,"","","","","","","","","","","","","",""
"Pacifica","https://www.seaforthlanding.com/boats/pacifica.php",,,,"","","","","","","","","","","","","",""
"Polaris Supreme","https://www.seaforthlanding.com/boats/polarissupreme.php",,,,"","","","","","","","","","","","","",""
"San Diego","https://www.seaforthlanding.com/boats/sandiego.php",,,,"","","","","","","","","","","","","",""
"Sea Watch","https://www.seaforthlanding.com/boats/seawatch.php",,,,"","","","","","","","","","","","","",""
"Tribute","https://www.seaforthlanding.com/boats/tribute.php",,,,"","","","","","","","","","","","","",""
"Voyager","https://www.seaforthlanding.com/boats/voyager.php",,,,"","","","","","","","","","","","","",""
"Dana Pride","https://danawharf.com/our-boats/dana-pride/",,,,"","","","","","","","","","","","","",""
"Clemente","https://danawharf.com/our-boats/clemente/",,,,"","","","","","","","","","","","","",""
"Sum Fun","https://danawharf.com/our-boats/sum-fun/",,,,"","","","","","","","","","","","","",""
"New San Mateo","https://danawharf.com/our-boats/new-san-mateo/",,,,"","","","","","","","","","","","","",""
"Fury","https://danawharf.com/our-boats/fury/",,,,"","","","","","","","","","","","","",""
"Reel Fun","https://danawharf.com/our-boats/reel-fun/",,,,"","","","","","","","","","","","","",""
"Helena","https://danawharf.com/our-boats/helena/",,,,"","","","","","","","","","","","","",""
"Western Pride","https://daveyslocker.com/fishing-charters-boat-rentals/fishing-boat-rentals/#westernpride",,,,"","","","","","","","","","","","","",""
"Freelance","https://daveyslocker.com/fishing-charters-boat-rentals/fishing-boat-rentals/#freelance",,,,"","","","","","","","","","","","","",""
"Thunderbird","https://daveyslocker.com/fishing-charters-boat-rentals/fishing-boat-rentals/#thunderbird",,,,"","","","","","","","","","","","","",""
"Aggressor","https://daveyslocker.com/fishing-charters-boat-rentals/fishing-boat-rentals/#aggressor",,,,"","","","","","","","","","","","","",""
"Toronado","https://pierpoint.net/boat/134",,,,"","","","","","","","","","","","","",""
"City of Long Beach","https://pierpoint.net/boat/136",,,,"","","","","","","","","","","","","",""
"Enterprise","https://pierpoint.net/boat/137",,,,"","","","","","","","","","","","","",""
"Ahra-Ahn","https://www.longbeachsportfishing.org/boats/ahraahn.php",,,,"","","","","","","","","","","","","",""
"El Dorado","https://www.longbeachsportfishing.org/boats/eldorado.php",,,,"","","","","","","","","","","","","",""
"Victory","https://www.longbeachsportfishing.org/boats/victory.php",,,,"","","","","","","","","","","","","",""
"El Patron","https://www.longbeachsportfishing.org/boats/elpatron.php",,,,"","","","","","","","","","","","","",""
"Amigo","https://www.22ndstreet.com/boats/amigo.php",,,,"","","","","","","","","","","","","",""
"Apollo","https://www.22ndstreet.com/boats/apollo.php",,,,"","","","","","","","","","","","","",""
"Freedom","https://www.22ndstreet.com/boats/freedom.php",,,,"","","","","","","","","","","","","",""
"Monte Carlo","https://www.22ndstreet.com/boats/montecarlo.php",,,,"","","","","","","","","","","","","",""
"Native Sun","https://www.22ndstreet.com/boats/nativesun.php",,,,"","","","","","","","","","","","","",""
"Pride","https://www.22ndstreet.com/boats/pride.php",,,,"","","","","","","","","","","","","",""
"Pursuit","https://www.22ndstreet.com/boats/pursuit.php",,,,"","","","","","","","","","","","","",""
"Truline","https://www.22ndstreet.com/boats/truline.php",,,,"","","","","","","","","","","","","",""
"Redondo Special","https://www.redondosportfishing.com/boat/168",,,,"","","","","","","","","","","","","",""
"Pescador","https://www.redondosportfishing.com/boat/328",,,,"","","","","","","","","","","","","",""
"Navegante","https://www.redondosportfishing.com/boat/51",,,,"","","","","","","","","","","","","",""
"New Del Mar","https://mdrsf.com/new-del-mar/",,,,"","","","","","","","","","","","","",""
"Betty-O","https://mdrsf.com/betty-o/",,,,"","","","","","","","","","","","","",""
"Spitfire","https://mdrsf.com/spitfire/",,,,"","","","","","","","","","","","","",""
"Aloha Spirit","https://www.channelislandssportfishing.com/aloha-spirit-sportfishing/",,,,"","","","","","","","","","","","","",""
"Cobra","https://www.channelislandssportfishing.com/cobra-sportfishing/",,,,"","","","","","","","","","","","","",""
"Graylight","https://www.channelislandssportfishing.com/graylight-sportfishing/",,,,"","","","","","","","","","","","","",""
"Gentleman","https://www.channelislandssportfishing.com/gentleman-sportfishing/",,,,"","","","","","","","","","","","","",""
"Island Fox","https://www.channelislandssportfishing.com/island-fox/",,,,"","","","","","","","","","","","","",""
"Island Tak","https://www.channelislandssportfishing.com/island-tak-sportfishing/",,,,"","","","","","","","","","","","","",""
"Mirage","https://www.channelislandssportfishing.com/mirage-sportfishing/",,,,"","","","","","","","","","","","","",""
"New Hustler","https://www.channelislandssportfishing.com/new-hustler/",,,,"","","","","","","","","","","","","",""
"Ranger 85","https://www.channelislandssportfishing.com/ranger-85-sportfishing/",,,,"","","","","","","","","","","","","",""
"Seabiscuit","https://www.channelislandssportfishing.com/seabiscuit-sportfishing/",,,,"","","","","","","","","","","","","",""
"Speed Twin","https://www.channelislandssportfishing.com/speed-twin-sportfishing/",,,,"","","","","","","","","","","","","",""
"Coroloma","https://www.hookslanding.net/boats/coroloma.php",,,,"","","","","","","","","","","","","",""
"Endeavor","https://venturasportfishing.com/boat/67",,,,"","","","","","","","","","","","","",""
"Pacific Eagle","https://venturasportfishing.com/boat/179",,,,"","","","","","","","","","","","","",""
"Californian","https://venturasportfishing.com/boat/362",,,,"","","","","","","","","","","","","",""
"Island Spirit","https://venturasportfishing.com/boat/282",,,,"","","","","","","","","","","","","",""
"Coral Sea","https://www.stardustsportfishing.com/galleries/1056-the-coral-sea",,,,"","","","","","","","","","","","","",""
"Stardust","https://www.stardustsportfishing.com/galleries/1058-stardust-gallery",,,,"","","","","","","","","","","","","",""
"Starfire","https://morrobaylanding.com/our-fleet/starfire/",,,,"","","","","","","","","","","","","",""
"Avenger","https://morrobaylanding.com/our-fleet/avenger/",,,,"","","","","","","","","","","","","",""
"Flying Fish","https://morrobaylanding.com/our-fleet/elementor-748/",,,,"","","","","","","","","","","","","",""
"Patriot","https://morrobaylanding.com/our-fleet/patriot/",,,,"","","","","","","","","","","","","",""
"Endeavor","https://morrobaylanding.com/our-fleet/endeavor/",,,,"","","","","","","","","","","","","",""
